Ques No.,ACC No,Member asking,PARTY,Executive,Date of publication,Due Date,Date replied to,Response,Status,NOTES,
4037,NW4583E,Mr I Cameron ,DA ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 22, 2025",Late,A,,
4038,NW4584E,Mr I Cameron ,DA ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 22, 2025",Late,A,,
4039,NW4585E,Mr C Hattingh ,DA ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 31, 2025",Late,A,,
4040,NW4586E,Mr C Hattingh ,DA ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4041,NW4587E,Mr C Hattingh ,DA ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4042,NW4588E,Mr K J Mileham ,DA ,Electricity and Energy,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 31, 2025",Late,A,,
4043,NW4589E,Mr K J Mileham ,DA ,Electricity and Energy,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, August 04, 2025",Late,A,,
4044,NW4590E,Mr K J Mileham ,DA ,Electricity and Energy,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 31, 2025",Late,A,,
4045,NW4591E,Ms H Ismail ,DA ,"Sport, Arts and Culture","Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 07, 2025",Timeous,A,,
4046,NW4592E,Dr D C Christians ,DA ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4047,NW4593E,Dr D C Christians ,DA ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4048,NW4594E,Dr D C Christians ,DA ,Social Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 28, 2025",Late,A,,
4049,NW4595E,Mrs M O Clarke ,DA ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4050,NW4596E,Mrs M O Clarke ,DA ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4051,NW4597E,Mr F Essack ,DA ,Water and Sanitation,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
4052,NW4598E,Mr F Essack ,DA ,Water and Sanitation,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 08, 2025",Timeous,A,,
4053,NW4599E,Mr F Essack ,DA ,Water and Sanitation,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
4054,NW4600E,Ms A M van Zyl ,DA ,Transport,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4055,NW4601E,Mr H C C Krüger ,DA ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4056,NW4602E,Ms A L A Abrahams ,DA ,Social Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 31, 2025",Late,A,,
4057,NW4603E,Mr M L Shelembe ,DA ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 31, 2025",Late,A,,
4058,NW4604E,Mrs D van der Walt ,DA ,Higher Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, September 17, 2025",Late,A,,
4059,NW4605E,Mrs D van der Walt ,DA ,Higher Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, September 17, 2025",Late,A,,
4060,NW4606E,Mr A G Bateman ,DA ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025",WITHDRAWN,W,W,,
4061,NW4607E,Mr A G Bateman ,DA ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, November 10, 2025",Late,A,,
4062,NW4608E,Mr A G Bateman ,DA ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, September 26, 2025",Late,A,,
4063,NW4609E,Mr T B Mabhena ,DA ,Cooperative Governance and Traditional Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 14, 2025",Late,A,,
4064,NW4610E,Ms D Kohler ,DA  ,Minister in The Presidency,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, September 11, 2025",Late,A,,
4065,NW4611E,Ms D Kohler ,DA  ,Police,"Friday, June, 27, 2025","Wednesday, July 16, 2025","Friday, August 29, 2025",Late,A,"Interdepartmentally transferred from MIP Wednesday, 2 July 2025",
4066,NW4612E,Mr M L Shelembe ,DA ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 15, 2025",Late,A,,
4067,NW4613E,Ms A L A Abrahams ,DA ,Social Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, October 27, 2025",Late,A,,
4068,NW4614E,Mrs M O Clarke ,DA ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
4069,NW4615E,Ms L M Maseko ,DA ,Higher Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, October 17, 2025",Late,A,,
4070,NW4616E,Ms L M Maseko ,DA ,Higher Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, September 17, 2025",Late,A,,
4071,NW4617E,Ms L M Maseko ,DA ,Higher Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
4072,NW4618E,Mr E M Bath ,DA ,Public Works and Infrastructure,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 14, 2025",Late,A,,
4073,NW4619E,Mr E M Bath ,DA ,Public Works and Infrastructure,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 23, 2025",Late,A,,
4074,NW4620E,Mr E M Bath ,DA ,Public Works and Infrastructure,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, August 19, 2025",Late,A,,
4075,NW4621E,Dr K W D P le Roux ,DA ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4076,NW4622E,Dr K W D P le Roux ,DA ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4077,NW4623E,Ms L Schickerling ,DA ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, August 22, 2025",Late,A,,
4078,NW4624E,Mr A D De Blocq van Scheltinga ,DA ,"Forestry, Fisheries and the Environment","Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4079,NW4625E,Mr A D de Blocq van Scheltinga ,DA ,"Forestry, Fisheries and the Environment","Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4080,NW4626E,Mr A D de Blocq van Scheltinga ,DA ,Agriculture,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
4081,NW4627E,Mr W D Peach ,DA ,"Forestry, Fisheries and the Environment","Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4082,NW4629E,Ms A M van Zyl ,DA ,Cooperative Governance and Traditional Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 14, 2025",Late,A,,
4083,NW4630E,Ms A M van Zyl ,DA ,Cooperative Governance and Traditional Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 04, 2025",Timeous,A,,
4084,NW4631E,Mr R W T Chance ,DA ,"Trade, Industry and Competition","Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4085,NW4632E,Mr R W T Chance ,DA ,"Trade, Industry and Competition","Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4086,NW4633E,Mr R W T Chance ,DA ,"Trade, Industry and Competition","Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4087,NW4634E,Mr T R Ramongalo ,DA ,"Sport, Arts and Culture","Friday, June, 27, 2025","Friday, July 11, 2025","Monday, August 18, 2025",Late,A,,
4088,NW4635E,Ms H Ismail ,DA ,Tourism,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
4089,NW4636E,Ms H Ismail ,DA ,Transport,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4090,NW4637E,Mr G Michalakis ,DA ,Agriculture,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, August 15, 2025",Late,A,,
4091,NW4638E,Mr G Michalakis ,DA ,Basic Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, August 15, 2025",Late,A,,
4092,NW4639E,Mr G Michalakis ,DA ,Communications and Digital Technologies,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, January 07, 2026",Late,A,,
4093,NW4640E,Mr P G Atkinson ,DA ,Cooperative Governance and Traditional Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 08, 2025",Timeous,A,,
4094,NW4641E,Mr P G Atkinson ,DA ,Correctional Services,"Friday, June, 27, 2025","Friday, July 25, 2025","Tuesday, August 05, 2025",Late,A,Rule 145(5) extension approved,
4095,NW4642E,Mr P G Atkinson ,DA ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, September 04, 2025",Late,A,,
4096,NW4643E,Mr W A S Aucamp ,DA ,Electricity and Energy,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 31, 2025",Late,A,,
4097,NW4644E,Mr W A S Aucamp ,DA ,Employment and Labour,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
4098,NW4645E,Mr W A S Aucamp ,DA ,Finance,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 24, 2025",Late,A,,
4099,NW4646E,Mr W D Peach ,DA ,"Forestry, Fisheries and the Environment","Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4100,NW4647E,Mr W D Peach ,DA ,Health,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 17, 2025",Late,A,,
4101,NW4648E,Mr E V Baptie ,DA ,Higher Education,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, September 17, 2025",Late,A,,
4102,NW4649E,Mr E V Baptie ,DA ,Home Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 15, 2025",Late,A,,
4103,NW4650E,Mr E V Baptie ,DA ,Human Settlements,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, August 13, 2025",Late,A,,
4104,NW4651E,Ms E R J Spies ,DA ,International Relations and Cooperation,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 15, 2025",Late,A,,
4105,NW4652E,Ms N J Bollman ,DA ,Justice and Constitutional Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, August 15, 2025",Late,A,,
4106,NW4653E,Ms N J Bollman ,DA ,Land Reform and Rural Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, January 07, 2026",Late,A,,
4107,NW4654E,Ms N J Bollman ,DA ,Mineral and Petroleum Resources,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4108,NW4655E,Mr M Chetty ,DA ,"Planning, Monitoring and Evaluation","Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 16, 2025",Late,A,,
4109,NW4656E,Mr M Chetty ,DA ,Police,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 22, 2025",Late,A,,
4110,NW4657E,Mr M Chetty ,DA ,Public Service and Administration,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, August 07, 2025",Late,A,,
4111,NW4658E,Mr J N de Villiers ,DA ,Public Works and Infrastructure,"Friday, June, 27, 2025","Friday, July 11, 2025","Wednesday, July 23, 2025",Late,A,,
4112,NW4659E,Mr J N de Villiers ,DA ,"Science, Technology and Innovation","Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
4113,NW4660E,Mr J N de Villiers ,DA ,Small Business Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, September 16, 2025",Late,A,,
4114,NW4661E,Ms T A Khanyile ,DA ,Social Development,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, September 16, 2025",Late,A,,
4115,NW4662E,Ms T A Khanyile ,DA ,"Sport, Arts and Culture","Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, July 29, 2025",Late,A,,
4116,NW4663E,Ms T A Khanyile ,DA  ,Minister in The Presidency,"Friday, June, 27, 2025","Friday, July 11, 2025","Tuesday, December 30, 2025",Late,A,,
4117,NW4664E,Mr D D Klopper ,DA ,Tourism,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, July 10, 2025",Timeous,A,,
4118,NW4665E,Mr D D Klopper ,DA ,"Trade, Industry and Competition","Friday, June, 27, 2025","Friday, July 11, 2025","Monday, January 05, 2026",Late,A,,
4119,NW4666E,Mr D D Klopper ,DA ,Transport,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 11, 2025",Timeous,A,,
4120,NW4667E,Ms E R J Spies ,DA ,Water and Sanitation,"Friday, June, 27, 2025","Friday, July 11, 2025","Thursday, August 14, 2025",Late,A,,
4121,NW4668E,Ms E R J Spies ,DA ,"Women, Youth and Persons with Disabilities","Friday, June, 27, 2025","Friday, July 11, 2025","Monday, July 14, 2025",Late,A,,
4122,NW4670E,Ms B E Machi ,IFP ,Home Affairs,"Friday, June, 27, 2025","Friday, July 11, 2025","Friday, July 18, 2025",Late,A,,
4123,NW4671E,Inkosi R N Cebekhulu ,IFP ,Defence and Military Veterans,"Friday, June, 27, 2025","Friday, July 11, 2025","Monday, August 25, 2025",Late,A,,
4124,NW4143E,Ms S Gcilishe ,EFF ,Police,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, September 11, 2025",Late,A,,
4125,NW4321E,Ms S Gcilishe ,EFF ,Water and Sanitation,"Friday, July, 04, 2025","Friday, July 18, 2025","Monday, July 21, 2025",Late,A,,
4126,NW4322E,Ms S Gcilishe ,EFF ,Cooperative Governance and Traditional Affairs,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, July 18, 2025",Timeous,A,,
4127,NW4476E,Mr C G Niehaus ,EFF ,Defence and Military Veterans,"Friday, July, 04, 2025","Friday, July 18, 2025","Wednesday, July 23, 2025",Late,A,,
4128,NW4477E,Mr C G Niehaus ,EFF  ,Minister in The Presidency,"Friday, July, 04, 2025","Friday, July 18, 2025","Monday, October 13, 2025",Late,A,,
4129,NW4478E,Mr C G Niehaus ,EFF ,Defence and Military Veterans,"Friday, July, 04, 2025","Friday, July 18, 2025","Wednesday, July 23, 2025",Late,A,,
4130,NW4481E,Ms N Tafeni ,EFF ,Social Development,"Friday, July, 04, 2025","Friday, July 18, 2025","Wednesday, July 16, 2025",Timeous,A,,
4131,NW4484E,Ms N R Mashabela ,EFF ,Tourism,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, August 01, 2025",Late,A,,
4132,NW4513E,Ms N R Mashabela ,EFF ,Tourism,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 10, 2025",Timeous,A,,
4133,NW4514E,Ms N R Mashabela ,EFF ,Tourism,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 10, 2025",Timeous,A,,
4134,NW4518E,Mr T P Mogale ,EFF ,Home Affairs,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 10, 2025",Timeous,A,,
4135,NW4521E,Ms P Marais ,EFF ,Health,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, August 01, 2025",Late,A,,
4136,NW4522E,Mr M K Montwedi ,EFF ,Agriculture,"Friday, July, 04, 2025","Friday, July 18, 2025",REMOVED,R,R,Member resigned,
4137,NW4523E,Mr M K Montwedi ,EFF ,Land Reform and Rural Development,"Friday, July, 04, 2025","Friday, July 18, 2025",REMOVED,R,R,Member resigned,
4138,NW4524E,Mr M K Montwedi ,EFF ,Justice and Constitutional Development,"Friday, July, 04, 2025","Friday, July 18, 2025","Tuesday, July 15, 2025",Late,A,,
4139,NW4669E,Dr W J Boshoff ,FF Plus ,Agriculture,"Friday, July, 04, 2025","Friday, July 18, 2025","Tuesday, July 29, 2025",Late,A,,
4140,NW4672E,Mr R A P Trollip ,ActionSA ,Cooperative Governance and Traditional Affairs,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, July 18, 2025",Timeous,A,,
4141,NW4674E,Mrs H Denner ,FF Plus ,Employment and Labour,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 10, 2025",Timeous,A,,
4142,NW4675E,Mr S S Zibi ,Rise Mzansi ,Electricity and Energy,"Friday, July, 04, 2025","Friday, July 18, 2025","Monday, July 21, 2025",Late,A,,
4143,NW4676E,Mr S S Zibi ,Rise Mzansi ,Justice and Constitutional Development,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 17, 2025",Timeous,A,,
4144,NW4677E,Mr S M Gana ,Rise Mzansi ,Finance,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 24, 2025",Late,A,,
4145,NW4678E,Mr S M Gana ,Rise Mzansi ,Police,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, August 29, 2025",Late,A,,
4146,NW4679E,Mr S M Gana ,Rise Mzansi ,"Trade, Industry and Competition","Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 24, 2025",Late,A,,
4147,NW4680E,Mr S S Zibi ,Rise Mzansi ,Health,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, August 01, 2025",Late,A,,
4148,NW4681E,Dr W J Boshoff ,FF Plus ,Agriculture,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 10, 2025",Timeous,A,,
4149,NW4682E,Mr R A P Trollip ,ActionSA ,Agriculture,"Friday, July, 04, 2025","Friday, July 18, 2025","Monday, July 14, 2025",Timeous,A,,
4150,NW4683E,Ms L M Ngobeni ,ActionSA ,Justice and Constitutional Development,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 17, 2025",Timeous,A,,
4151,NW4684E,Dr T K S Letlape ,ActionSA,Public Service and Administration,"Friday, July, 04, 2025","Friday, July 18, 2025","Tuesday, July 22, 2025",Late,A,,
4152,NW4685E,Dr T K S Letlape ,ActionSA ,Finance,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, July 11, 2025",Timeous,A,,
4153,NW4686E,Ms D E James ,ActionSA ,Correctional Services,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 10, 2025",Timeous,A,,
4154,NW4687E,Ms D E James ,ActionSA ,Correctional Services,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, July 25, 2025",Late,A,,
4155,NW4688E,Ms D E James ,ActionSA ,Correctional Services,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 17, 2025",Timeous,A,,
4156,NW4689E,Ms M P Kobe ,ActionSA ,Cooperative Governance and Traditional Affairs,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, July 18, 2025",Timeous,A,,
4157,NW4690E,Ms M P Kobe ,ActionSA ,Cooperative Governance and Traditional Affairs,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, July 18, 2025",Timeous,A,,
4158,NW4691E,Ms M P Kobe ,ActionSA ,Transport,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, July 18, 2025",Timeous,A,,
4159,NW4692E,Mr A D Beesley ,ActionSA ,Electricity and Energy,"Friday, July, 04, 2025","Friday, July 18, 2025","Monday, July 21, 2025",Late,A,,
4160,NW4693E,Mr A D Beesley ,ActionSA ,Finance,"Friday, July, 04, 2025","Friday, July 18, 2025","Monday, August 11, 2025",Late,A,,
4161,NW4694E,Mr T M Langa ,IFP ,Public Service and Administration,"Friday, July, 04, 2025","Friday, July 18, 2025","Tuesday, July 22, 2025",Late,A,,
4162,NW4697E,Ms L L van der Merwe ,IFP ,Tourism,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, December 19, 2025",Late,A,,
4163,NW4698E,Mr T M Langa ,IFP ,Public Service and Administration,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, August 15, 2025",Late,A,,
4164,NW4699E,Inkosi N Z Buthelezi ,IFP ,Cooperative Governance and Traditional Affairs,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, July 18, 2025",Timeous,A,,
4165,NW4700E,Inkosi N Z Buthelezi ,IFP ,"Planning, Monitoring and Evaluation","Friday, July, 04, 2025","Friday, July 18, 2025","Friday, August 01, 2025",Late,A,,
4166,NW4701E,Inkosi R N Cebekhulu ,IFP ,Agriculture,"Friday, July, 04, 2025","Friday, July 18, 2025","Wednesday, July 16, 2025",Timeous,A,,
4167,NW4702E,Ms N H Mhlongo ,IFP ,Electricity and Energy,"Friday, July, 04, 2025","Friday, July 18, 2025","Monday, August 04, 2025",Late,A,,
4168,NW4703E,Ms N H Mhlongo ,IFP ,Mineral and Petroleum Resources,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 17, 2025",Timeous,A,,
4169,NW4704E,Mr S L Ngcobo ,IFP ,Employment and Labour,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 10, 2025",Timeous,A,,
4170,NW4705E,Mr S S Zondo ,IFP ,"Forestry, Fisheries and the Environment","Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 17, 2025",Timeous,A,,
4171,NW4707E,Ms B E Machi ,IFP ,Home Affairs,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, July 18, 2025",Timeous,A,,
4172,NW4708E,Mr M A Mncwango ,IFP ,International Relations and Cooperation,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 31, 2025",Late,A,,
4173,NW4709E,Ms B E Machi ,IFP ,Correctional Services,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, July 17, 2025",Timeous,A,,
4174,NW4710E,Ms H Ismail ,DA ,Transport,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, July 18, 2025",Timeous,A,,
4175,NW4711E,Ms H Ismail ,DA ,Transport,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, July 18, 2025",Timeous,A,,
4176,NW4712E,Ms H Ismail ,DA ,Transport,"Friday, July, 04, 2025","Friday, July 18, 2025","Friday, July 18, 2025",Timeous,A,,
4177,NW4713E,Mr I Cameron ,DA ,Police,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, October 23, 2025",Late,A,,
4178,NW4714E,Mr I Cameron ,DA ,Police,"Friday, July, 04, 2025","Friday, July 18, 2025","Thursday, October 23, 2025",Late,A,,
